p sp 100 4989
a 4 33 331
a 4 35 74
a 4 36 62
a 4 40 328
a 4 41 938
a 4 42 819
a 4 44 736
a 4 47 268
a 4 52 470
a 4 53 366
a 4 54 599
a 4 55 737
a 4 56 34
a 4 59 172
a 4 63 803
a 4 64 54
a 4 65 746
a 4 68 943
a 4 69 593
a 4 70 112
a 4 71 498
a 4 73 496
a 4 75 605
a 4 77 483
a 4 78 166
a 4 84 874
a 4 86 568
a 4 91 543
a 4 93 231
a 4 94 183
a 4 96 382
a 4 97 710
a 5 2 683
a 5 3 988
a 5 8 362
a 5 9 303
a 5 11 839
a 5 15 18
a 5 16 90
a 5 17 841
a 5 21 874
a 5 22 893
a 5 23 89
a 5 25 793
a 5 27 717
a 5 29 207
a 5 32 344
a 5 34 567
a 5 35 338
a 5 39 574
a 5 40 451
a 5 42 97
a 5 44 57
a 5 46 443
a 5 56 825
a 5 60 731
a 5 63 422
a 5 64 861
a 5 66 897
a 5 70 31
a 5 73 729
a 5 77 675
a 5 81 940
a 5 83 680
a 5 84 738
a 5 86 307
a 5 89 882
a 5 91 845
a 5 94 121
a 5 96 717
a 5 98 4
a 5 99 321
a 5 100 675
a 6 3 415
a 6 4 486
a 6 5 539
a 6 7 540
a 6 8 811
a 6 12 778
a 6 13 213
a 6 14 979
a 6 15 396
a 6 16 630
a 6 17 299
a 6 18 452
a 6 21 367
a 6 26 782
a 6 27 713
a 6 28 736
a 6 29 62
a 6 30 565
a 6 32 996
a 6 40 811
a 6 41 762
a 6 43 653
a 6 44 816
a 6 48 919
a 6 52 350
a 6 54 318
a 6 56 975
a 6 58 798
a 6 60 33
a 6 64 751
a 6 68 479
a 6 69 114
a 6 71 399
a 6 72 881
a 6 74 708
a 6 75 876
a 6 76 325
a 6 81 448
a 6 82 504
a 6 85 560
a 6 86 96
a 6 87 675
a 6 88 32
a 6 91 327
a 6 92 504
a 6 93 830
a 6 95 585
a 7 1 961
a 7 4 914
a 7 5 563
a 7 8 292
a 7 9 116
a 7 15 606
a 7 16 102
a 7 17 576
a 7 18 25
a 7 20 166
a 7 22 114
a 7 25 70
a 7 26 341
a 7 27 634
a 7 31 410
a 7 33 160
a 7 34 933
a 7 35 503
a 7 40 910
a 7 41 846
a 7 43 838
a 7 45 953
a 7 46 654
a 7 47 611
a 7 51 572
a 7 52 658
a 7 55 626
a 7 60 305
a 7 61 393
a 7 62 938
a 7 65 385
a 7 66 664
a 7 68 783
a 7 73 848
a 7 76 439
a 7 77 960
a 7 78 940
a 7 80 830
a 7 81 142
a 7 83 428
a 7 84 492
a 7 85 998
a 7 86 936
a 7 87 887
a 7 89 684
a 7 90 770
a 7 91 2
a 7 96 688
a 7 98 124
a 7 99 594
a 7 100 87
a 8 2 581
a 8 6 601
a 8 7 488
a 8 9 708
a 8 10 521
a 8 12 588
a 8 14 426
a 8 18 586
a 8 22 142
a 8 23 894
a 8 26 139
a 8 29 263
a 8 30 244
a 8 33 572
a 8 34 976
a 8 37 25
a 8 39 585
a 8 43 566
a 8 53 43
a 8 54 348
a 8 59 677
a 8 64 577
a 8 66 168
a 8 70 264
a 8 71 950
a 8 72 202
a 8 73 374
a 8 74 635
a 8 76 923
a 8 77 439
a 8 78 225
a 8 79 758
a 8 81 220
a 8 82 35
a 8 86 931
a 8 89 38
a 8 90 119
a 8 91 821
a 8 95 357
a 8 96 979
a 8 97 437
a 8 99 595
a 9 3 543
a 9 5 417
a 9 6 551
a 9 7 230
a 9 10 307
a 9 11 429
a 9 12 625
a 9 14 395
a 9 16 668
a 9 17 943
a 9 28 411
a 9 30 36
a 9 32 415
a 9 33 939
a 9 34 700
a 9 35 137
a 9 40 795
a 9 42 873
a 9 44 771
a 9 45 650
a 9 47 942
a 9 50 606
a 9 54 765
a 9 55 712
a 9 57 103
a 9 58 563
a 9 62 495
a 9 63 993
a 9 64 701
a 9 66 327
a 9 68 351
a 9 69 432
a 9 70 35
a 9 72 583
a 9 76 311
a 9 81 108
a 9 82 579
a 9 83 420
a 9 85 77
a 9 86 190
a 9 88 746
a 9 89 249
a 9 92 26
a 9 93 445
a 9 94 927
a 9 95 607
a 9 96 403
a 9 98 924
a 9 99 988
a 9 100 447
a 10 1 331
a 10 3 295
a 10 9 408
a 10 13 688
a 10 18 68
a 10 21 701
a 10 23 622
a 10 24 121
a 10 27 584
a 10 28 196
a 10 29 594
a 10 31 161
a 10 33 437
a 10 35 802
a 10 39 741
a 10 49 395
a 10 50 448
a 10 51 838
a 10 52 441
a 10 54 983
a 10 56 450
a 10 57 27
a 10 58 992
a 10 59 114
a 10 61 122
a 10 64 408
a 10 66 530
a 10 67 533
a 10 68 758
a 10 70 174
a 10 71 699
a 10 73 718
a 10 74 935
a 10 81 869
a 10 82 826
a 10 84 777
a 10 86 85
a 10 88 211
a 10 90 859
a 10 91 678
a 10 92 775
a 10 93 213
a 10 95 263
a 10 96 94
a 10 99 819
a 11 4 629
a 11 5 282
a 11 7 131
a 11 8 172
a 11 14 466
a 11 15 436
a 11 16 883
a 11 18 439
a 11 21 266
a 11 23 834
a 11 24 230
a 11 25 774
a 11 27 673
a 11 28 670
a 11 29 78
a 11 30 797
a 11 32 464
a 11 33 549
a 11 36 292
a 11 37 358
a 11 40 182
a 11 41 580
a 11 44 854
a 11 45 111
a 11 46 514
a 11 47 788
a 11 48 793
a 11 51 200
a 11 54 66
a 11 56 76
a 11 58 102
a 11 60 966
a 11 63 981
a 11 64 801
a 11 68 847
a 11 76 161
a 11 80 42
a 11 84 25
a 11 86 702
a 11 87 124
a 11 88 201
a 11 89 117
a 11 90 48
a 11 92 835
a 11 95 598
a 11 96 620
a 12 4 806
a 12 6 991
a 12 7 120
a 12 9 829
a 12 10 523
a 12 11 821
a 12 14 655
a 12 15 798
a 12 20 679
a 12 21 656
a 12 22 625
a 12 26 330
a 12 27 454
a 12 30 177
a 12 31 138
a 12 32 834
a 12 36 924
a 12 40 934
a 12 41 783
a 12 43 223
a 12 47 116
a 12 48 261
a 12 50 867
a 12 51 144
a 12 52 656
a 12 53 1
a 12 54 958
a 12 55 987
a 12 57 296
a 12 59 715
a 12 60 779
a 12 65 598
a 12 66 914
a 12 67 983
a 12 68 652
a 12 69 554
a 12 70 605
a 12 71 792
a 12 74 390
a 12 77 885
a 12 78 887
a 12 79 658
a 12 80 108
a 12 83 87
a 12 85 311
a 12 87 734
a 12 89 223
a 12 90 478
a 12 91 892
a 12 93 732
a 12 96 844
a 12 98 881
a 12 99 154
a 13 2 873
a 13 4 440
a 13 9 150
a 13 10 121
a 13 15 94
a 13 16 853
a 13 19 922
a 13 21 475
a 13 22 535
a 13 24 831
a 13 25 911
a 13 26 635
a 13 27 265
a 13 28 259
a 13 29 146
a 13 32 176
a 13 36 538
a 13 37 440
a 13 41 767
a 13 42 662
a 13 44 470
a 13 46 743
a 13 47 149
a 13 50 217
a 13 51 179
a 13 52 235
a 13 53 764
a 13 62 454
a 13 63 562
a 13 64 789
a 13 66 818
a 13 69 556
a 13 70 849
a 13 77 333
a 13 80 401
a 13 82 624
a 13 84 389
a 13 87 716
a 13 88 217
a 13 91 924
a 13 92 286
a 13 97 748
a 13 99 717
a 14 1 457
a 14 7 222
a 14 8 563
a 14 9 946
a 14 11 135
a 14 15 102
a 14 16 320
a 14 19 130
a 14 20 662
a 14 21 48
a 14 22 997
a 14 24 733
a 14 26 858
a 14 27 73
a 14 29 954
a 14 32 992
a 14 33 840
a 14 34 70
a 14 38 685
a 14 39 833
a 14 40 420
a 14 41 529
a 14 43 766
a 14 46 480
a 14 49 187
a 14 54 618
a 14 55 96
a 14 56 920
a 14 57 809
a 14 58 539
a 14 60 118
a 14 64 356
a 14 65 618
a 14 66 714
a 14 68 978
a 14 74 596
a 14 76 30
a 14 77 472
a 14 80 91
a 14 81 455
a 14 82 806
a 14 83 807
a 14 85 801
a 14 86 299
a 14 87 278
a 14 88 768
a 14 90 958
a 14 91 731
a 14 93 893
a 14 94 54
a 14 95 146
a 14 97 350
a 14 99 121
a 14 100 518
a 15 1 934
a 15 4 693
a 15 10 865
a 15 11 253
a 15 12 996
a 15 13 417
a 15 14 402
a 15 17 140
a 15 21 146
a 15 24 677
a 15 25 933
a 15 26 857
a 15 27 693
a 15 30 925
a 15 33 40
a 15 34 225
a 15 35 360
a 15 38 216
a 15 41 932
a 15 48 327
a 15 49 27
a 15 50 433
a 15 51 959
a 15 57 796
a 15 58 509
a 15 63 415
a 15 66 635
a 15 67 717
a 15 68 326
a 15 70 293
a 15 73 685
a 15 74 810
a 15 77 463
a 15 78 723
a 15 81 650
a 15 85 487
a 15 88 983
a 15 89 626
a 15 90 897
a 15 94 38
a 15 95 820
a 15 96 912
a 16 1 667
a 16 2 123
a 16 3 117
a 16 4 304
a 16 5 985
a 16 7 81
a 16 13 822
a 16 14 424
a 16 15 574
a 16 21 728
a 16 25 913
a 16 27 918
a 16 28 804
a 16 29 486
a 16 31 437
a 16 32 947
a 16 37 63
a 16 38 573
a 16 39 859
a 16 40 832
a 16 41 505
a 16 46 768
a 16 47 107
a 16 52 332
a 16 54 583
a 16 56 676
a 16 58 554
a 16 64 1
a 16 65 790
a 16 66 660
a 16 67 131
a 16 68 595
a 16 71 587
a 16 72 179
a 16 73 588
a 16 74 537
a 16 75 705
a 16 76 944
a 16 77 293
a 16 78 788
a 16 79 328
a 16 80 217
a 16 83 383
a 16 84 422
a 16 85 644
a 16 86 319
a 16 87 307
a 16 89 156
a 16 90 980
a 16 93 596
a 16 94 671
a 16 96 175
a 16 97 30
a 16 98 921
a 16 99 670
a 16 100 278
a 17 1 543
a 17 7 609
a 17 8 343
a 17 9 68
a 17 11 631
a 17 12 794
a 17 14 515
a 17 15 289
a 17 16 225
a 17 19 10
a 17 21 48
a 17 22 646
a 17 24 462
a 17 25 44
a 17 26 356
a 17 28 174
a 17 29 219
a 17 30 733
a 17 32 937
a 17 34 435
a 17 35 157
a 17 38 777
a 17 40 640
a 17 42 228
a 17 43 525
a 17 44 334
a 17 45 342
a 17 52 21
a 17 53 461
a 17 55 802
a 17 57 663
a 17 63 110
a 17 65 390
a 17 66 608
a 17 68 644
a 17 69 276
a 17 70 471
a 17 71 179
a 17 72 622
a 17 74 211
a 17 75 835
a 17 76 343
a 17 80 756
a 17 81 744
a 17 86 313
a 17 88 995
a 17 90 337
a 17 91 971
a 17 95 345
a 17 97 36
a 17 98 495
a 17 100 367
a 18 1 273
a 18 5 901
a 18 8 593
a 18 11 634
a 18 12 120
a 18 13 427
a 18 19 703
a 18 20 864
a 18 21 994
a 18 24 182
a 18 25 661
a 18 27 952
a 18 28 96
a 18 29 495
a 18 31 210
a 18 36 947
a 18 39 18
a 18 40 504
a 18 41 581
a 18 42 293
a 18 48 326
a 18 49 787
a 18 50 53
a 18 55 62
a 18 57 440
a 18 59 248
a 18 60 984
a 18 62 946
a 18 63 263
a 18 64 42
a 18 65 590
a 18 67 667
a 18 68 305
a 18 71 953
a 18 72 325
a 18 73 542
a 18 74 651
a 18 75 795
a 18 77 740
a 18 78 270
a 18 81 979
a 18 82 211
a 18 84 857
a 18 87 824
a 18 88 278
a 18 89 735
a 18 93 644
a 18 95 138
a 18 96 65
a 19 5 46
a 19 6 170
a 19 7 168
a 19 11 571
a 19 13 16
a 19 15 765
a 19 16 809
a 19 18 143
a 19 21 533
a 19 24 751
a 19 25 588
a 19 26 878
a 19 28 52
a 19 29 176
a 19 34 960
a 19 35 319
a 19 36 240
a 19 37 318
a 19 38 921
a 19 39 526
a 19 41 390
a 19 43 646
a 19 44 840
a 19 45 846
a 19 47 837
a 19 48 943
a 19 49 392
a 19 51 303
a 19 52 415
a 19 54 795
a 19 56 906
a 19 57 163
a 19 58 778
a 19 59 636
a 19 60 805
a 19 61 754
a 19 64 373
a 19 65 376
a 19 67 740
a 19 69 723
a 19 70 134
a 19 71 406
a 19 72 586
a 19 73 260
a 19 75 28
a 19 76 623
a 19 77 501
a 19 78 259
a 19 79 125
a 19 80 919
a 19 81 664
a 19 83 801
a 19 84 514
a 19 86 196
a 19 87 833
a 19 89 777
a 19 90 711
a 19 91 183
a 19 92 929
a 19 93 491
a 19 96 789
a 19 98 255
a 19 99 309
a 19 100 450
a 20 3 539
a 20 5 348
a 20 8 943
a 20 11 769
a 20 16 897
a 20 18 127
a 20 19 99
a 20 23 324
a 20 26 472
a 20 28 484
a 20 32 364
a 20 34 862
a 20 35 700
a 20 39 88
a 20 42 128
a 20 46 13
a 20 48 142
a 20 51 277
a 20 57 114
a 20 58 40
a 20 60 49
a 20 62 635
a 20 66 744
a 20 69 592
a 20 71 67
a 20 75 488
a 20 76 238
a 20 78 183
a 20 79 933
a 20 80 294
a 20 81 805
a 20 82 314
a 20 84 711
a 20 85 626
a 20 87 146
a 20 88 601
a 20 89 710
a 20 93 141
a 20 94 917
a 20 96 174
a 20 98 791
a 20 99 508
a 20 100 386
a 21 2 740
a 21 5 908
a 21 7 993
a 21 8 842
a 21 9 236
a 21 11 307
a 21 14 648
a 21 15 364
a 21 16 561
a 21 17 596
a 21 18 922
a 21 23 970
a 21 24 519
a 21 25 611
a 21 26 410
a 21 27 841
a 21 28 112
a 21 29 476
a 21 31 21
a 21 33 281
a 21 34 585
a 21 35 652
a 21 36 282
a 21 38 948
a 21 42 870
a 21 43 964
a 21 46 876
a 21 47 249
a 21 48 679
a 21 50 295
a 21 51 831
a 21 54 483
a 21 56 224
a 21 57 492
a 21 60 134
a 21 61 843
a 21 63 935
a 21 65 861
a 21 66 979
a 21 67 532
a 21 68 355
a 21 69 718
a 21 70 409
a 21 71 693
a 21 72 477
a 21 73 171
a 21 75 104
a 21 77 845
a 21 78 832
a 21 82 599
a 21 83 522
a 21 86 963
a 21 89 458
a 21 91 804
a 21 92 39
a 21 93 984
a 21 94 265
a 21 95 616
a 21 97 390
a 21 98 417
a 22 2 777
a 22 5 275
a 22 9 94
a 22 10 36
a 22 13 588
a 22 14 531
a 22 15 776
a 22 16 761
a 22 20 787
a 22 21 332
a 22 23 776
a 22 24 687
a 22 28 882
a 22 29 652
a 22 30 470
a 22 32 214
a 22 33 415
a 22 34 933
a 22 36 130
a 22 41 460
a 22 42 115
a 22 44 840
a 22 46 647
a 22 49 895
a 22 50 359
a 22 51 67
a 22 56 33
a 22 57 930
a 22 59 981
a 22 61 247
a 22 66 436
a 22 68 913
a 22 71 139
a 22 73 260
a 22 74 560
a 22 76 822
a 22 78 64
a 22 80 225
a 22 82 740
a 22 84 864
a 22 87 603
a 22 89 165
a 22 93 687
a 22 94 813
a 22 95 777
a 22 97 817
a 22 100 690
a 23 1 661
a 23 2 519
a 23 3 293
a 23 4 274
a 23 7 532
a 23 8 262
a 23 11 221
a 23 13 887
a 23 15 124
a 23 17 398
a 23 18 359
a 23 24 62
a 23 25 545
a 23 27 88
a 23 28 514
a 23 31 788
a 23 32 188
a 23 33 842
a 23 40 775
a 23 41 229
a 23 45 58
a 23 51 637
a 23 54 163
a 23 56 901
a 23 57 381
a 23 58 773
a 23 59 191
a 23 62 946
a 23 68 385
a 23 69 490
a 23 70 550
a 23 73 23
a 23 75 776
a 23 77 815
a 23 79 67
a 23 81 283
a 23 82 903
a 23 83 951
a 23 85 650
a 23 87 10
a 23 88 662
a 23 89 881
a 23 90 909
a 23 91 507
a 23 94 25
a 23 96 294
a 23 97 32
a 23 99 949
a 24 1 749
a 24 3 908
a 24 4 616
a 24 5 506
a 24 7 770
a 24 9 725
a 24 10 82
a 24 17 700
a 24 18 172
a 24 19 427
a 24 21 395
a 24 23 521
a 24 25 438
a 24 26 238
a 24 27 116
a 24 28 313
a 24 30 391
a 24 31 857
a 24 32 744
a 24 34 962
a 24 36 493
a 24 43 701
a 24 44 823
a 24 45 992
a 24 46 302
a 24 50 126
a 24 52 75
a 24 54 885
a 24 55 342
a 24 58 963
a 24 60 899
a 24 63 391
a 24 64 667
a 24 65 390
a 24 67 773
a 24 69 350
a 24 73 352
a 24 79 665
a 24 81 163
a 24 84 994
a 24 87 584
a 24 89 631
a 24 90 542
a 24 92 944
a 24 94 903
a 24 97 643
a 24 100 659
a 25 1 590
a 25 2 824
a 25 4 370
a 25 7 65
a 25 9 203
a 25 10 336
a 25 11 157
a 25 14 859
a 25 16 774
a 25 17 443
a 25 18 298
a 25 20 48
a 25 22 765
a 25 23 405
a 25 26 245
a 25 27 783
a 25 28 619
a 25 30 5
a 25 33 528
a 25 34 486
a 25 36 958
a 25 38 589
a 25 41 90
a 25 45 912
a 25 46 393
a 25 47 82
a 25 49 433
a 25 51 875
a 25 55 682
a 25 56 368
a 25 59 564
a 25 61 602
a 25 62 312
a 25 63 704
a 25 64 827
a 25 67 60
a 25 68 898
a 25 70 39
a 25 71 437
a 25 73 518
a 25 75 661
a 25 76 923
a 25 77 743
a 25 79 47
a 25 80 950
a 25 81 484
a 25 82 642
a 25 83 826
a 25 84 424
a 25 86 494
a 25 87 505
a 25 90 480
a 25 96 277
a 25 98 748
a 26 1 435
a 26 3 838
a 26 6 928
a 26 7 803
a 26 9 338
a 26 11 565
a 26 13 335
a 26 14 480
a 26 15 82
a 26 16 315
a 26 18 242
a 26 20 392
a 26 24 313
a 26 25 758
a 26 27 888
a 26 28 431
a 26 29 86
a 26 31 859
a 26 32 373
a 26 33 732
a 26 35 182
a 26 36 426
a 26 38 797
a 26 39 196
a 26 40 649
a 26 41 665
a 26 42 4
a 26 45 597
a 26 46 15
a 26 49 211
a 26 52 598
a 26 53 541
a 26 55 602
a 26 58 857
a 26 59 224
a 26 65 798
a 26 71 285
a 26 74 677
a 26 75 340
a 26 79 899
a 26 80 563
a 26 81 50
a 26 83 173
a 26 85 863
a 26 87 562
a 26 88 969
a 26 89 662
a 26 90 103
a 26 95 423
a 26 96 251
a 26 97 803
a 27 1 894
a 27 2 301
a 27 6 172
a 27 8 811
a 27 10 365
a 27 11 548
a 27 14 866
a 27 15 308
a 27 17 103
a 27 18 575
a 27 19 522
a 27 20 561
a 27 21 148
a 27 23 383
a 27 24 38
a 27 28 639
a 27 32 326
a 27 42 680
a 27 45 100
a 27 47 686
a 27 49 544
a 27 50 458
a 27 51 881
a 27 52 134
a 27 55 482
a 27 56 927
a 27 57 357
a 27 59 652
a 27 61 944
a 27 63 954
a 27 65 678
a 27 66 650
a 27 67 66
a 27 72 437
a 27 73 698
a 27 76 508
a 27 77 996
a 27 79 405
a 27 80 614
a 27 82 58
a 27 83 362
a 27 85 244
a 27 87 877
a 27 89 981
a 27 95 929
a 27 98 464
a 27 99 703
a 27 100 83
a 28 1 906
a 28 2 794
a 28 4 421
a 28 5 448
a 28 7 919
a 28 8 376
a 28 9 396
a 28 10 780
a 28 11 117
a 28 12 528
a 28 16 267
a 28 17 621
a 28 20 444
a 28 23 2
a 28 24 415
a 28 27 212
a 28 29 935
a 28 33 397
a 28 35 915
a 28 36 195
a 28 37 682
a 28 38 646
a 28 41 640
a 28 42 135
a 28 45 115
a 28 48 842
a 28 49 670
a 28 51 428
a 28 52 79
a 28 54 669
a 28 57 682
a 28 58 379
a 28 60 272
a 28 62 59
a 28 63 594
a 28 64 52
a 28 65 531
a 28 66 227
a 28 67 680
a 28 68 450
a 28 69 529
a 28 71 160
a 28 76 981
a 28 77 225
a 28 78 552
a 28 79 973
a 28 81 662
a 28 83 742
a 28 84 801
a 28 86 870
a 28 87 535
a 28 88 485
a 28 89 627
a 28 90 649
a 28 91 573
a 28 93 596
a 28 95 766
a 28 96 14
a 28 98 55
a 28 100 557
a 29 2 293
a 29 3 972
a 29 7 67
a 29 8 708
a 29 10 431
a 29 13 853
a 29 14 992
a 29 16 401
a 29 18 928
a 29 20 985
a 29 21 796
a 29 22 323
a 29 25 10
a 29 27 232
a 29 28 111
a 29 30 243
a 29 32 891
a 29 33 583
a 29 34 530
a 29 36 677
a 29 37 799
a 29 41 745
a 29 42 782
a 29 43 790
a 29 44 716
a 29 48 361
a 29 50 170
a 29 51 958
a 29 52 810
a 29 53 402
a 29 54 332
a 29 55 903
a 29 58 993
a 29 61 359
a 29 64 157
a 29 65 353
a 29 67 601
a 29 69 493
a 29 71 396
a 29 72 188
a 29 73 599
a 29 75 434
a 29 78 348
a 29 80 774
a 29 82 246
a 29 84 368
a 29 86 637
a 29 87 306
a 29 88 656
a 29 93 73
a 29 95 71
a 29 96 467
a 29 98 801
a 29 100 420
a 30 2 640
a 30 3 386
a 30 5 817
a 30 6 613
a 30 10 659
a 30 13 408
a 30 17 563
a 30 21 206
a 30 22 512
a 30 23 390
a 30 24 741
a 30 26 784
a 30 28 568
a 30 29 342
a 30 32 623
a 30 33 690
a 30 34 945
a 30 36 329
a 30 37 985
a 30 38 446
a 30 42 895
a 30 47 895
a 30 49 499
a 30 51 275
a 30 52 784
a 30 54 303
a 30 55 753
a 30 56 522
a 30 57 703
a 30 58 144
a 30 59 645
a 30 60 259
a 30 61 199
a 30 62 158
a 30 63 792
a 30 67 581
a 30 68 757
a 30 69 977
a 30 71 684
a 30 72 24
a 30 76 95
a 30 77 287
a 30 79 415
a 30 80 858
a 30 81 386
a 30 83 65
a 30 84 359
a 30 85 253
a 30 88 721
a 30 89 641
a 30 90 770
a 30 91 478
a 30 93 552
a 30 94 241
a 30 96 467
a 30 97 10
a 30 98 70
a 31 3 622
a 31 8 816
a 31 9 451
a 31 10 262
a 31 11 16
a 31 14 522
a 31 15 869
a 31 24 28
a 31 30 470
a 31 33 127
a 31 34 560
a 31 35 773
a 31 37 839
a 31 38 664
a 31 40 808
a 31 42 135
a 31 43 824
a 31 44 343
a 31 45 863
a 31 46 196
a 31 51 534
a 31 54 364
a 31 58 728
a 31 60 771
a 31 61 466
a 31 63 811
a 31 64 109
a 31 65 73
a 31 66 523
a 31 70 269
a 31 72 122
a 31 73 371
a 31 74 437
a 31 77 129
a 31 78 515
a 31 79 991
a 31 81 50
a 31 84 619
a 31 86 689
a 31 90 738
a 31 98 644
a 32 2 35
a 32 5 357
a 32 6 607
a 32 8 553
a 32 9 748
a 32 11 609
a 32 13 72
a 32 14 388
a 32 15 760
a 32 16 160
a 32 18 199
a 32 19 394
a 32 20 917
a 32 22 857
a 32 23 29
a 32 24 115
a 32 28 93
a 32 30 928
a 32 31 177
a 32 33 532
a 32 35 695
a 32 36 563
a 32 41 331
a 32 42 763
a 32 43 328
a 32 44 187
a 32 45 145
a 32 46 991
a 32 49 441
a 32 52 825
a 32 54 505
a 32 56 365
a 32 57 603
a 32 58 693
a 32 59 404
a 32 61 746
a 32 64 420
a 32 65 76
a 32 66 828
a 32 67 791
a 32 68 26
a 32 70 929
a 32 72 478
a 32 74 113
a 32 75 850
a 32 76 383
a 32 77 353
a 32 80 929
a 32 81 750
a 32 83 506
a 32 84 877
a 32 85 62
a 32 92 700
a 32 97 409
a 32 98 603
a 33 1 545
a 33 3 309
a 33 5 862
a 33 7 776
a 33 8 600
a 33 9 932
a 33 10 1
a 33 14 108
a 33 15 737
a 33 18 1
a 33 20 526
a 33 24 617
a 33 25 849
a 33 26 825
a 33 27 931
a 33 29 849
a 33 30 194
a 33 32 444
a 33 35 264
a 33 38 735
a 33 39 203
a 33 40 545
a 33 41 243
a 33 42 18
a 33 45 93
a 33 48 411
a 33 49 956
a 33 54 763
a 33 57 411
a 33 58 990
a 33 61 207
a 33 62 944
a 33 63 418
a 33 64 634
a 33 65 204
a 33 68 330
a 33 69 121
a 33 72 829
a 33 73 373
a 33 75 283
a 33 76 83
a 33 77 294
a 33 78 67
a 33 80 331
a 33 81 74
a 33 82 64
a 33 83 687
a 33 85 752
a 33 86 119
a 33 87 429
a 33 88 196
a 33 91 739
a 33 95 109
a 33 97 608
a 33 98 886
a 33 99 783
a 33 100 652
a 34 1 517
a 34 2 121
a 34 3 372
a 34 5 289
a 34 6 699
a 34 9 149
a 34 11 462
a 34 16 380
a 34 17 51
a 34 19 131
a 34 25 852
a 34 30 813
a 34 31 451
a 34 33 858
a 34 35 891
a 34 36 719
a 34 38 21
a 34 40 271
a 34 41 363
a 34 44 867
a 34 47 963
a 34 50 59
a 34 53 556
a 34 54 776
a 34 57 76
a 34 59 189
a 34 60 73
a 34 63 337
a 34 65 134
a 34 67 297
a 34 68 42
a 34 70 903
a 34 71 395
a 34 72 443
a 34 73 521
a 34 75 367
a 34 76 609
a 34 79 812
a 34 80 864
a 34 85 863
a 34 89 105
a 34 91 915
a 34 96 944
a 34 98 785
a 35 5 606
a 35 7 300
a 35 9 328
a 35 13 329
a 35 14 733
a 35 15 193
a 35 16 185
a 35 17 750
a 35 18 31
a 35 22 894
a 35 25 811
a 35 28 400
a 35 32 678
a 35 34 542
a 35 36 915
a 35 37 930
a 35 39 564
a 35 42 292
a 35 43 206
a 35 44 68
a 35 45 964
a 35 46 158
a 35 48 637
a 35 51 67
a 35 56 238
a 35 57 467
a 35 59 8
a 35 62 322
a 35 65 208
a 35 66 962
a 35 67 662
a 35 68 398
a 35 69 738
a 35 73 747
a 35 74 147
a 35 76 365
a 35 79 249
a 35 82 716
a 35 83 157
a 35 84 929
a 35 86 780
a 35 91 155
a 35 93 254
a 35 95 56
a 35 99 882
a 36 1 290
