p sp 100 4946
a 4 7 112
a 4 9 174
a 4 10 528
a 4 17 505
a 4 21 71
a 4 23 259
a 4 25 186
a 4 26 156
a 4 28 192
a 4 29 848
a 4 30 530
a 4 32 249
a 4 34 989
a 4 37 637
a 4 40 511
a 4 41 307
a 4 42 990
a 4 43 502
a 4 44 296
a 4 46 618
a 4 49 140
a 4 50 207
a 4 53 170
a 4 56 596
a 4 57 105
a 4 60 297
a 4 61 256
a 4 62 574
a 4 63 805
a 4 66 822
a 4 69 681
a 4 72 935
a 4 78 546
a 4 82 754
a 4 83 610
a 4 88 286
a 4 90 3
a 4 92 263
a 4 93 327
a 4 94 248
a 4 97 137
a 4 98 62
a 4 100 139
a 5 1 365
a 5 2 158
a 5 3 318
a 5 6 390
a 5 7 370
a 5 8 832
a 5 9 174
a 5 10 31
a 5 12 785
a 5 13 408
a 5 15 111
a 5 19 332
a 5 20 103
a 5 21 298
a 5 23 819
a 5 26 845
a 5 27 997
a 5 28 239
a 5 29 99
a 5 32 446
a 5 33 253
a 5 35 193
a 5 38 435
a 5 39 649
a 5 42 990
a 5 43 701
a 5 49 643
a 5 50 750
a 5 51 223
a 5 53 59
a 5 55 316
a 5 58 790
a 5 59 790
a 5 61 267
a 5 63 198
a 5 65 689
a 5 66 687
a 5 69 658
a 5 70 771
a 5 71 461
a 5 73 143
a 5 75 367
a 5 76 983
a 5 77 291
a 5 81 141
a 5 82 892
a 5 83 106
a 5 84 345
a 5 87 70
a 5 89 392
a 5 91 982
a 5 94 204
a 5 96 668
a 5 97 295
a 5 100 418
a 6 4 597
a 6 7 281
a 6 11 244
a 6 13 149
a 6 14 519
a 6 15 484
a 6 22 370
a 6 23 226
a 6 25 429
a 6 26 832
a 6 27 595
a 6 31 74
a 6 33 905
a 6 34 498
a 6 38 976
a 6 40 577
a 6 42 741
a 6 43 708
a 6 48 89
a 6 51 193
a 6 54 841
a 6 56 448
a 6 60 10
a 6 62 979
a 6 65 272
a 6 71 495
a 6 72 347
a 6 75 428
a 6 76 350
a 6 77 240
a 6 78 51
a 6 81 56
a 6 82 13
a 6 85 317
a 6 89 558
a 6 90 716
a 6 91 853
a 6 92 117
a 6 93 661
a 6 94 122
a 6 95 683
a 6 97 125
a 6 98 930
a 6 99 913
a 6 100 331
a 7 1 323
a 7 2 705
a 7 4 568
a 7 5 515
a 7 6 976
a 7 9 726
a 7 11 255
a 7 13 720
a 7 14 940
a 7 15 350
a 7 16 721
a 7 20 71
a 7 22 942
a 7 25 696
a 7 27 913
a 7 28 299
a 7 29 933
a 7 31 517
a 7 32 41
a 7 34 367
a 7 35 139
a 7 36 80
a 7 42 567
a 7 44 588
a 7 46 30
a 7 48 967
a 7 50 202
a 7 51 474
a 7 52 898
a 7 53 370
a 7 55 461
a 7 56 887
a 7 57 464
a 7 58 761
a 7 59 251
a 7 62 566
a 7 63 644
a 7 66 201
a 7 71 793
a 7 74 902
a 7 77 428
a 7 79 987
a 7 83 144
a 7 89 284
a 7 91 627
a 7 92 628
a 7 93 814
a 7 94 240
a 7 96 431
a 7 97 296
a 7 98 793
a 8 1 956
a 8 4 805
a 8 5 860
a 8 6 500
a 8 12 352
a 8 13 669
a 8 15 55
a 8 17 358
a 8 18 280
a 8 19 980
a 8 27 285
a 8 28 696
a 8 29 441
a 8 31 943
a 8 33 882
a 8 38 190
a 8 42 427
a 8 45 825
a 8 46 647
a 8 50 368
a 8 52 656
a 8 54 507
a 8 56 332
a 8 57 709
a 8 58 78
a 8 61 844
a 8 62 626
a 8 63 330
a 8 64 771
a 8 66 178
a 8 69 461
a 8 70 479
a 8 74 572
a 8 75 19
a 8 76 558
a 8 78 998
a 8 79 322
a 8 81 418
a 8 83 741
a 8 86 109
a 8 88 881
a 8 93 867
a 8 95 332
a 8 97 115
a 8 98 617
a 8 99 130
a 9 3 636
a 9 5 275
a 9 6 770
a 9 8 218
a 9 10 500
a 9 11 681
a 9 14 479
a 9 15 323
a 9 16 704
a 9 17 247
a 9 22 866
a 9 24 403
a 9 25 694
a 9 26 915
a 9 27 570
a 9 28 567
a 9 29 552
a 9 31 629
a 9 32 329
a 9 33 352
a 9 35 550
a 9 37 68
a 9 38 884
a 9 39 552
a 9 41 908
a 9 42 242
a 9 43 205
a 9 44 712
a 9 46 917
a 9 47 853
a 9 48 309
a 9 49 92
a 9 51 827
a 9 53 109
a 9 54 308
a 9 56 671
a 9 60 290
a 9 62 384
a 9 64 973
a 9 67 463
a 9 71 352
a 9 72 843
a 9 76 79
a 9 77 619
a 9 84 133
a 9 85 582
a 9 86 946
a 9 87 859
a 9 89 787
a 9 91 58
a 9 93 479
a 9 99 979
a 9 100 319
a 10 1 624
a 10 2 542
a 10 3 826
a 10 4 966
a 10 5 400
a 10 7 426
a 10 8 767
a 10 11 598
a 10 12 464
a 10 13 752
a 10 14 933
a 10 15 648
a 10 19 166
a 10 20 37
a 10 21 861
a 10 27 190
a 10 29 444
a 10 32 171
a 10 34 984
a 10 36 707
a 10 37 70
a 10 39 580
a 10 42 699
a 10 43 588
a 10 44 288
a 10 46 410
a 10 47 793
a 10 50 897
a 10 51 68
a 10 59 867
a 10 60 917
a 10 62 946
a 10 66 481
a 10 67 892
a 10 69 990
a 10 70 978
a 10 72 80
a 10 73 731
a 10 74 745
a 10 76 419
a 10 78 651
a 10 79 601
a 10 82 700
a 10 83 134
a 10 88 845
a 10 89 630
a 10 91 671
a 10 94 485
a 10 95 62
a 10 96 469
a 10 98 866
a 10 99 252
a 11 1 643
a 11 3 458
a 11 4 140
a 11 10 130
a 11 15 808
a 11 17 978
a 11 18 628
a 11 21 122
a 11 22 644
a 11 24 653
a 11 26 835
a 11 27 670
a 11 30 117
a 11 32 419
a 11 33 910
a 11 43 512
a 11 45 646
a 11 46 482
a 11 48 12
a 11 51 996
a 11 54 919
a 11 55 218
a 11 59 750
a 11 60 323
a 11 61 46
a 11 62 752
a 11 63 4
a 11 71 350
a 11 72 860
a 11 74 87
a 11 76 681
a 11 79 564
a 11 82 999
a 11 84 733
a 11 85 249
a 11 86 331
a 11 87 575
a 11 88 36
a 11 89 934
a 11 91 910
a 11 94 390
a 11 95 782
a 11 96 302
a 11 98 463
a 11 100 554
a 12 3 873
a 12 4 503
a 12 5 794
a 12 8 364
a 12 9 462
a 12 10 692
a 12 11 401
a 12 13 912
a 12 14 435
a 12 16 692
a 12 17 296
a 12 19 926
a 12 20 543
a 12 22 431
a 12 24 419
a 12 25 470
a 12 26 326
a 12 27 609
a 12 29 57
a 12 32 254
a 12 34 316
a 12 35 460
a 12 37 871
a 12 39 624
a 12 40 588
a 12 45 647
a 12 47 86
a 12 48 822
a 12 50 454
a 12 52 75
a 12 53 186
a 12 54 604
a 12 55 700
a 12 57 122
a 12 58 880
a 12 61 486
a 12 63 625
a 12 64 938
a 12 70 488
a 12 73 98
a 12 75 465
a 12 80 301
a 12 83 297
a 12 84 10
a 12 87 74
a 12 89 786
a 12 90 354
a 12 93 104
a 12 95 85
a 12 96 32
a 12 98 6
a 13 1 452
a 13 2 999
a 13 3 815
a 13 6 989
a 13 9 416
a 13 14 8
a 13 15 649
a 13 18 917
a 13 20 479
a 13 21 493
a 13 22 178
a 13 26 885
a 13 28 402
a 13 30 17
a 13 34 105
a 13 35 425
a 13 36 661
a 13 38 412
a 13 42 12
a 13 43 633
a 13 44 816
a 13 45 181
a 13 48 187
a 13 53 355
a 13 54 381
a 13 56 79
a 13 58 433
a 13 60 947
a 13 61 406
a 13 63 328
a 13 64 22
a 13 66 628
a 13 68 337
a 13 72 290
a 13 73 684
a 13 74 194
a 13 76 108
a 13 78 611
a 13 79 91
a 13 80 212
a 13 81 927
a 13 82 854
a 13 85 139
a 13 86 854
a 13 91 728
a 13 93 102
a 13 94 180
a 13 97 431
a 13 98 770
a 13 100 695
a 14 3 925
a 14 4 665
a 14 5 672
a 14 6 686
a 14 7 719
a 14 9 804
a 14 10 535
a 14 12 496
a 14 13 291
a 14 16 659
a 14 18 977
a 14 19 365
a 14 24 174
a 14 25 143
a 14 26 823
a 14 27 173
a 14 28 867
a 14 29 379
a 14 31 849
a 14 35 184
a 14 36 738
a 14 40 449
a 14 41 456
a 14 44 226
a 14 45 280
a 14 46 54
a 14 47 367
a 14 49 557
a 14 50 288
a 14 52 760
a 14 53 282
a 14 54 810
a 14 55 882
a 14 56 606
a 14 57 460
a 14 58 570
a 14 60 576
a 14 61 26
a 14 63 331
a 14 65 863
a 14 67 207
a 14 68 509
a 14 71 882
a 14 72 112
a 14 74 458
a 14 77 378
a 14 78 191
a 14 79 520
a 14 81 994
a 14 82 404
a 14 83 427
a 14 85 984
a 14 86 878
a 14 88 719
a 14 91 504
a 14 92 857
a 14 94 838
a 14 95 162
a 14 96 116
a 14 99 482
a 15 8 256
a 15 10 472
a 15 11 448
a 15 12 371
a 15 13 1
a 15 16 281
a 15 18 544
a 15 19 267
a 15 20 202
a 15 23 517
a 15 24 872
a 15 25 950
a 15 26 663
a 15 28 970
a 15 29 463
a 15 32 634
a 15 34 847
a 15 35 776
a 15 37 986
a 15 39 581
a 15 40 690
a 15 42 452
a 15 46 807
a 15 49 556
a 15 51 262
a 15 52 443
a 15 53 907
a 15 54 805
a 15 56 582
a 15 59 248
a 15 60 845
a 15 62 176
a 15 63 620
a 15 65 789
a 15 69 695
a 15 71 432
a 15 74 576
a 15 78 364
a 15 80 887
a 15 81 370
a 15 83 653
a 15 85 380
a 15 86 388
a 15 87 388
a 15 88 556
a 15 89 703
a 15 90 758
a 15 92 864
a 15 94 238
a 15 95 550
a 15 96 307
a 15 97 252
a 15 98 707
a 15 99 801
a 15 100 498
a 16 1 772
a 16 2 250
a 16 4 390
a 16 6 745
a 16 12 907
a 16 14 335
a 16 18 616
a 16 19 204
a 16 23 276
a 16 26 502
a 16 30 283
a 16 33 260
a 16 34 681
a 16 36 161
a 16 38 111
a 16 40 784
a 16 44 399
a 16 45 604
a 16 48 798
a 16 52 571
a 16 53 830
a 16 54 882
a 16 57 941
a 16 59 46
a 16 67 645
a 16 69 512
a 16 70 359
a 16 73 504
a 16 74 696
a 16 75 512
a 16 76 534
a 16 81 42
a 16 82 826
a 16 83 277
a 16 84 503
a 16 86 347
a 16 89 271
a 16 90 959
a 16 91 619
a 16 92 367
a 16 93 52
a 16 94 980
a 16 96 898
a 16 98 502
a 16 99 164
a 17 3 427
a 17 4 486
a 17 5 844
a 17 6 992
a 17 8 569
a 17 10 658
a 17 11 139
a 17 16 108
a 17 18 906
a 17 19 208
a 17 21 566
a 17 22 427
a 17 24 272
a 17 25 980
a 17 26 929
a 17 27 197
a 17 28 186
a 17 29 966
a 17 30 871
a 17 32 773
a 17 33 751
a 17 35 353
a 17 36 866
a 17 37 787
a 17 38 936
a 17 39 977
a 17 40 253
a 17 41 0
a 17 44 675
a 17 45 429
a 17 46 443
a 17 47 164
a 17 50 318
a 17 51 582
a 17 52 571
a 17 57 512
a 17 58 181
a 17 61 445
a 17 62 288
a 17 64 898
a 17 65 638
a 17 66 585
a 17 67 567
a 17 68 892
a 17 70 10
a 17 71 876
a 17 72 51
a 17 73 983
a 17 74 218
a 17 75 682
a 17 79 68
a 17 83 675
a 17 84 986
a 17 85 481
a 17 86 37
a 17 87 696
a 17 89 191
a 17 90 822
a 17 91 805
a 17 92 689
a 17 93 632
a 17 95 223
a 17 96 807
a 17 100 24
a 18 6 999
a 18 11 352
a 18 14 412
a 18 19 290
a 18 20 363
a 18 21 259
a 18 24 704
a 18 25 120
a 18 28 38
a 18 30 982
a 18 31 489
a 18 33 793
a 18 40 769
a 18 41 103
a 18 42 7
a 18 45 425
a 18 49 684
a 18 50 525
a 18 51 434
a 18 53 572
a 18 54 40
a 18 55 830
a 18 57 895
a 18 58 489
a 18 61 998
a 18 62 473
a 18 64 744
a 18 65 368
a 18 66 522
a 18 67 622
a 18 68 641
a 18 70 298
a 18 72 143
a 18 73 867
a 18 75 577
a 18 76 446
a 18 81 333
a 18 82 912
a 18 85 703
a 18 87 642
a 18 92 451
a 18 93 647
a 18 94 149
a 18 96 566
a 18 97 900
a 18 99 461
a 18 100 220
a 19 1 519
a 19 4 607
a 19 5 640
a 19 6 651
a 19 7 834
a 19 8 422
a 19 14 837
a 19 15 153
a 19 17 846
a 19 20 607
a 19 21 489
a 19 22 700
a 19 25 386
a 19 28 670
a 19 29 770
a 19 30 813
a 19 35 582
a 19 38 735
a 19 40 500
a 19 41 788
a 19 42 283
a 19 43 591
a 19 44 639
a 19 48 814
a 19 50 728
a 19 52 242
a 19 55 337
a 19 56 533
a 19 59 814
a 19 63 389
a 19 66 674
a 19 67 325
a 19 68 130
a 19 69 398
a 19 71 734
a 19 72 317
a 19 74 306
a 19 76 904
a 19 77 102
a 19 78 13
a 19 79 721
a 19 80 204
a 19 81 297
a 19 84 508
a 19 87 207
a 19 88 835
a 19 89 1
a 19 90 382
a 19 91 841
a 19 92 457
a 19 93 360
a 19 94 699
a 19 96 538
a 19 99 89
a 19 100 984
a 20 2 726
a 20 5 779
a 20 6 304
a 20 7 790
a 20 9 129
a 20 12 246
a 20 13 826
a 20 19 591
a 20 23 518
a 20 24 456
a 20 31 180
a 20 33 401
a 20 36 197
a 20 37 991
a 20 38 154
a 20 41 337
a 20 42 171
a 20 44 362
a 20 46 402
a 20 50 196
a 20 51 482
a 20 53 291
a 20 54 963
a 20 56 828
a 20 57 850
a 20 63 352
a 20 69 697
a 20 71 392
a 20 72 271
a 20 73 291
a 20 75 824
a 20 77 747
a 20 82 135
a 20 84 192
a 20 85 991
a 20 86 512
a 20 89 561
a 20 91 526
a 20 95 287
a 20 97 336
a 20 98 247
a 20 99 517
a 20 100 19
a 21 3 727
a 21 4 916
a 21 6 54
a 21 8 271
a 21 10 769
a 21 12 870
a 21 17 239
a 21 19 947
a 21 22 580
a 21 24 331
a 21 29 279
a 21 32 259
a 21 34 122
a 21 35 621
a 21 36 474
a 21 39 270
a 21 40 226
a 21 41 595
a 21 44 605
a 21 45 515
a 21 46 535
a 21 48 640
a 21 49 555
a 21 50 356
a 21 51 617
a 21 53 238
a 21 55 388
a 21 56 909
a 21 63 972
a 21 67 3
a 21 68 674
a 21 71 866
a 21 72 165
a 21 73 710
a 21 75 458
a 21 76 257
a 21 78 352
a 21 80 670
a 21 81 57
a 21 86 673
a 21 87 617
a 21 88 889
a 21 89 817
a 21 91 898
a 21 94 109
a 21 96 262
a 21 98 728
a 21 100 974
a 22 2 367
a 22 7 634
a 22 10 720
a 22 14 778
a 22 17 143
a 22 21 423
a 22 23 828
a 22 24 999
a 22 25 557
a 22 26 959
a 22 30 102
a 22 32 115
a 22 33 958
a 22 37 202
a 22 38 139
a 22 43 311
a 22 46 125
a 22 47 106
a 22 49 395
a 22 50 99
a 22 53 981
a 22 54 793
a 22 55 354
a 22 56 162
a 22 57 294
a 22 59 975
a 22 60 787
a 22 62 276
a 22 64 939
a 22 67 586
a 22 70 766
a 22 72 187
a 22 73 941
a 22 79 864
a 22 81 269
a 22 86 227
a 22 88 316
a 22 89 344
a 22 91 77
a 22 92 330
a 22 94 599
a 22 97 946
a 22 99 328
a 22 100 152
a 23 2 920
a 23 4 575
a 23 5 608
a 23 8 568
a 23 11 376
a 23 12 198
a 23 13 68
a 23 15 526
a 23 18 319
a 23 24 96
a 23 25 419
a 23 29 967
a 23 32 402
a 23 34 285
a 23 36 196
a 23 40 151
a 23 42 707
a 23 43 163
a 23 44 386
a 23 45 727
a 23 46 19
a 23 48 926
a 23 52 65
a 23 53 27
a 23 54 941
a 23 55 123
a 23 56 508
a 23 57 620
a 23 61 695
a 23 63 706
a 23 65 635
a 23 67 500
a 23 68 444
a 23 73 705
a 23 74 337
a 23 76 187
a 23 78 625
a 23 79 985
a 23 80 729
a 23 83 412
a 23 88 343
a 23 89 190
a 23 93 310
a 23 97 390
a 23 99 393
a 23 100 658
a 24 4 381
a 24 5 249
a 24 7 476
a 24 9 909
a 24 12 803
a 24 14 594
a 24 15 242
a 24 17 928
a 24 19 777
a 24 20 387
a 24 21 348
a 24 25 589
a 24 27 650
a 24 28 344
a 24 29 650
a 24 33 368
a 24 34 495
a 24 37 88
a 24 38 372
a 24 39 674
a 24 41 421
a 24 42 107
a 24 44 407
a 24 47 300
a 24 48 17
a 24 50 576
a 24 52 582
a 24 54 495
a 24 55 208
a 24 57 798
a 24 58 94
a 24 59 284
a 24 63 743
a 24 64 789
a 24 65 772
a 24 67 465
a 24 70 363
a 24 71 374
a 24 72 302
a 24 73 893
a 24 74 110
a 24 75 667
a 24 76 432
a 24 78 515
a 24 81 19
a 24 84 922
a 24 86 140
a 24 88 732
a 24 89 883
a 24 92 290
a 24 94 417
a 24 95 400
a 24 97 465
a 24 98 570
a 24 100 667
a 25 2 216
a 25 3 810
a 25 4 772
a 25 5 898
a 25 9 782
a 25 10 716
a 25 11 696
a 25 12 755
a 25 13 941
a 25 14 800
a 25 20 619
a 25 21 16
a 25 23 508
a 25 24 681
a 25 26 660
a 25 28 748
a 25 29 693
a 25 30 700
a 25 34 583
a 25 37 617
a 25 38 485
a 25 39 617
a 25 44 492
a 25 47 584
a 25 49 156
a 25 51 180
a 25 55 421
a 25 56 881
a 25 57 795
a 25 61 745
a 25 62 232
a 25 63 457
a 25 64 213
a 25 66 292
a 25 68 929
a 25 71 577
a 25 73 300
a 25 77 662
a 25 81 138
a 25 82 273
a 25 84 430
a 25 85 937
a 25 86 847
a 25 87 206
a 25 88 435
a 25 90 741
a 25 92 496
a 25 94 471
a 25 98 838
a 26 3 712
a 26 4 922
a 26 5 760
a 26 8 730
a 26 9 221
a 26 11 288
a 26 13 768
a 26 15 999
a 26 16 327
a 26 20 201
a 26 22 407
a 26 23 855
a 26 24 213
a 26 25 850
a 26 29 968
a 26 31 617
a 26 32 132
a 26 41 736
a 26 42 934
a 26 43 458
a 26 44 483
a 26 45 155
a 26 46 966
a 26 54 450
a 26 56 30
a 26 57 920
a 26 58 727
a 26 62 352
a 26 63 573
a 26 64 71
a 26 65 157
a 26 68 674
a 26 70 561
a 26 71 890
a 26 72 918
a 26 73 41
a 26 74 508
a 26 83 875
a 26 86 694
a 26 88 270
a 26 90 237
a 26 92 876
a 26 95 45
a 26 96 631
a 26 97 454
a 26 99 61
a 26 100 648
a 27 2 224
a 27 3 26
a 27 4 541
a 27 5 399
a 27 6 852
a 27 8 61
a 27 10 659
a 27 11 183
a 27 12 779
a 27 13 730
a 27 14 896
a 27 15 256
a 27 16 844
a 27 19 100
a 27 21 246
a 27 23 180
a 27 24 920
a 27 28 285
a 27 29 441
a 27 31 707
a 27 34 563
a 27 38 514
a 27 39 912
a 27 41 274
a 27 44 780
a 27 46 176
a 27 50 536
a 27 51 163
a 27 53 11
a 27 57 333
a 27 58 6
a 27 59 202
a 27 61 417
a 27 62 167
a 27 64 319
a 27 66 234
a 27 69 668
a 27 70 993
a 27 71 616
a 27 72 124
a 27 73 952
a 27 74 935
a 27 75 606
a 27 76 471
a 27 77 438
a 27 78 148
a 27 79 979
a 27 82 590
a 27 84 24
a 27 86 672
a 27 89 299
a 27 90 888
a 27 91 588
a 27 94 517
a 28 2 490
a 28 4 89
a 28 9 512
a 28 10 12
a 28 13 700
a 28 18 64
a 28 19 657
a 28 20 835
a 28 21 544
a 28 22 349
a 28 24 847
a 28 25 730
a 28 27 559
a 28 29 724
a 28 30 604
a 28 33 441
a 28 36 377
a 28 38 960
a 28 39 617
a 28 40 97
a 28 42 301
a 28 43 749
a 28 45 568
a 28 47 428
a 28 48 370
a 28 49 86
a 28 50 662
a 28 52 135
a 28 55 719
a 28 62 709
a 28 70 494
a 28 71 966
a 28 72 415
a 28 73 881
a 28 74 698
a 28 80 772
a 28 82 469
a 28 84 270
a 28 85 681
a 28 86 482
a 28 88 683
a 28 89 671
a 28 91 663
a 28 92 673
a 28 93 838
a 28 94 849
a 28 95 410
a 28 97 216
a 29 1 278
a 29 4 627
a 29 6 102
a 29 7 377
a 29 8 136
a 29 9 143
a 29 12 295
a 29 13 140
a 29 15 145
a 29 16 800
a 29 17 183
a 29 18 139
a 29 19 276
a 29 21 739
a 29 27 29
a 29 30 978
a 29 31 603
a 29 32 335
a 29 34 223
a 29 36 38
a 29 38 1
a 29 40 270
a 29 41 927
a 29 42 926
a 29 43 328
a 29 48 315
a 29 49 481
a 29 50 205
a 29 51 614
a 29 52 9
a 29 53 113
a 29 56 572
a 29 57 175
a 29 58 987
a 29 60 508
a 29 62 662
a 29 63 155
a 29 64 804
a 29 65 342
a 29 67 21
a 29 68 863
a 29 70 861
a 29 73 13
a 29 74 336
a 29 80 48
a 29 81 867
a 29 82 328
a 29 84 704
a 29 86 236
a 29 88 425
a 29 90 878
a 29 93 524
a 29 94 192
a 29 96 777
a 29 100 626
a 30 1 718
a 30 5 128
a 30 7 551
a 30 9 582
a 30 10 524
a 30 12 614
a 30 14 599
a 30 15 702
a 30 16 909
a 30 18 877
a 30 20 560
a 30 23 527
a 30 25 642
a 30 26 890
a 30 28 863
a 30 29 178
a 30 34 628
a 30 37 72
a 30 39 393
a 30 41 845
a 30 45 748
a 30 46 497
a 30 47 325
a 30 48 54
a 30 49 533
a 30 55 574
a 30 56 676
a 30 57 165
a 30 58 647
a 30 59 582
a 30 63 634
a 30 64 271
a 30 66 883
a 30 69 636
a 30 70 867
a 30 71 468
a 30 74 758
a 30 83 433
a 30 89 43
a 30 91 686
a 30 93 810
a 30 96 968
a 30 98 904
a 31 1 815
a 31 5 160
a 31 13 730
a 31 15 873
a 31 18 511
a 31 20 919
a 31 22 56
a 31 24 959
a 31 32 868
a 31 37 968
a 31 42 885
a 31 44 823
a 31 48 483
a 31 51 968
a 31 52 998
a 31 59 148
a 31 62 213
a 31 63 258
a 31 64 440
a 31 66 993
a 31 67 347
a 31 70 859
a 31 71 770
a 31 74 760
a 31 75 327
a 31 76 126
a 31 77 180
a 31 79 776
a 31 82 322
a 31 85 159
a 31 86 530
a 31 87 582
a 31 92 983
a 31 94 662
a 31 95 499
a 31 96 953
a 31 97 119
a 31 99 686
a 32 2 10
a 32 4 762
a 32 6 440
a 32 8 83
a 32 9 126
a 32 10 626
a 32 11 56
a 32 12 945
a 32 13 856
a 32 14 518
a 32 16 544
a 32 18 78
a 32 23 77
a 32 27 231
a 32 30 381
a 32 35 95
a 32 36 168
a 32 37 725
a 32 39 372
a 32 42 167
a 32 43 161
a 32 45 836
a 32 46 976
a 32 47 717
a 32 49 39
a 32 52 274
a 32 53 363
a 32 54 891
a 32 55 100
a 32 56 679
a 32 57 454
a 32 58 896
a 32 59 392
a 32 60 96
a 32 61 729
a 32 63 679
a 32 64 364
a 32 65 986
a 32 66 640
a 32 67 978
a 32 68 71
a 32 69 966
a 32 71 460
a 32 73 377
a 32 74 448
a 32 76 612
a 32 81 837
a 32 82 185
a 32 84 637
a 32 87 906
a 32 88 366
a 32 89 334
a 32 90 290
a 32 93 199
a 32 96 142
a 32 97 955
a 32 98 547
a 33 1 751
a 33 7 841
a 33 9 631
a 33 10 16
a 33 13 727
a 33 14 184
a 33 15 766
a 33 19 620
a 33 21 948
a 33 23 38
a 33 29 641
a 33 31 310
a 33 32 116
a 33 34 153
a 33 38 32
a 33 39 984
a 33 40 285
a 33 45 377
a 33 49 803
a 33 52 676
a 33 54 686
a 33 57 306
a 33 63 788
a 33 65 598
a 33 67 663
a 33 70 766
a 33 71 253
a 33 72 704
a 33 74 107
a 33 81 723
a 33 83 649
a 33 84 13
a 33 85 997
a 33 86 712
a 33 87 405
a 33 90 632
a 33 92 676
a 33 94 389
a 33 99 567
a 34 1 846
a 34 5 150
a 34 8 978
a 34 9 899
a 34 10 74
a 34 12 600
a 34 13 683
a 34 16 495
a 34 23 379
a 34 25 632
a 34 26 205
a 34 27 939
a 34 28 524
a 34 32 820
a 34 33 734
a 34 35 479
a 34 36 765
a 34 38 164
a 34 41 173
a 34 43 610
a 34 44 118
a 34 45 822
a 34 46 359
a 34 49 893
a 34 51 649
a 34 53 274
a 34 55 986
a 34 57 334
a 34 58 295
a 34 59 920
a 34 60 964
a 34 61 104
a 34 62 32
a 34 66 555
a 34 67 77
a 34 68 324
a 34 69 132
a 34 74 790
a 34 76 894
a 34 78 794
a 34 79 538
a 34 81 103
a 34 82 690
a 34 84 356
a 34 85 418
a 34 86 18
a 34 87 119
a 34 93 195
a 34 95 566
a 34 97 206
a 34 99 578
a 35 4 451
a 35 6 652
a 35 7 964
a 35 8 201
a 35 9 654
a 35 10 606
a 35 11 691
a 35 12 60
a 35 13 711
a 35 15 132
a 35 16 601
a 35 17 387
a 35 19 967
a 35 21 694
a 35 22 958
a 35 23 722
a 35 24 564
a 35 27 849
a 35 28 841
a 35 30 494
a 35 31 416
a 35 33 71
a 35 34 394
a 35 39 164
a 35 40 145
a 35 42 4
a 35 43 478
a 35 44 343
a 35 45 690
a 35 49 611
a 35 51 133
a 35 52 765
a 35 54 845
a 35 55 436
a 35 57 945
a 35 63 333
a 35 67 974
a 35 68 999
a 35 70 846
a 35 71 868
a 35 72 576
a 35 73 770
a 35 74 191
a 35 76 26
a 35 77 122
a 35 78 577
a 35 79 862
a 35 80 326
a 35 83 332
a 35 84 618
a 35 85 68
a 35 88 892
a 35 98 549
a 35 99 426
a 36 3 217
a 36 4 340
a 36 10 376
a 36 11 387
a 36 12 771
a 36 15 677
a 36 16 535
a 36 18 361
a 36 19 832
a 36 21 349
a 36 22 912
a 36 23 863
a 36 24 142
